"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","STUDPERTEACHER","PRY","RT","A","2017",16.427,
"JPN","STUDPERTEACHER","PRY","RT","A","2018",16.174,
"KOR","STUDPERTEACHER","PRY","RT","A","2016",16.466,
"KOR","STUDPERTEACHER","PRY","RT","A","2017",16.421,
"KOR","STUDPERTEACHER","PRY","RT","A","2018",16.506,
"LUX","STUDPERTEACHER","PRY","RT","A","2016",10.52,
"LUX","STUDPERTEACHER","PRY","RT","A","2017",9.01,
"LUX","STUDPERTEACHER","PRY","RT","A","2018",9.049,
"MEX","STUDPERTEACHER","PRY","RT","A","2016",26.742,
"MEX","STUDPERTEACHER","PRY","RT","A","2017",26.552,
"MEX","STUDPERTEACHER","PRY","RT","A","2018",26.41,
"NLD","STUDPERTEACHER","PRY","RT","A","2016",16.774,
"NLD","STUDPERTEACHER","PRY","RT","A","2017",16.65,
"NLD","STUDPERTEACHER","PRY","RT","A","2018",16.414,
"NZL","STUDPERTEACHER","PRY","RT","A","2016",16.571,
"NZL","STUDPERTEACHER","PRY","RT","A","2017",16.903,
"NZL","STUDPERTEACHER","PRY","RT","A","2018",16.833,
"NOR","STUDPERTEACHER","PRY","RT","A","2016",10.148,
"NOR","STUDPERTEACHER","PRY","RT","A","2017",10.163,
"NOR","STUDPERTEACHER","PRY","RT","A","2018",10.095,
"POL","STUDPERTEACHER","PRY","RT","A","2016",11.357,
"POL","STUDPERTEACHER","PRY","RT","A","2017",10.741,
"POL","STUDPERTEACHER","PRY","RT","A","2018",9.602,
"PRT","STUDPERTEACHER","PRY","RT","A","2016",13.121,
"PRT","STUDPERTEACHER","PRY","RT","A","2017",12.675,
"PRT","STUDPERTEACHER","PRY","RT","A","2018",12.421,
"SVK","STUDPERTEACHER","PRY","RT","A","2016",17.069,
"SVK","STUDPERTEACHER","PRY","RT","A","2017",17.399,
"SVK","STUDPERTEACHER","PRY","RT","A","2018",17.524,
"ESP","STUDPERTEACHER","PRY","RT","A","2016",13.564,
"ESP","STUDPERTEACHER","PRY","RT","A","2017",13.646,
"ESP","STUDPERTEACHER","PRY","RT","A","2018",13.607,
"SWE","STUDPERTEACHER","PRY","RT","A","2016",13.055,
"SWE","STUDPERTEACHER","PRY","RT","A","2017",12.827,
"SWE","STUDPERTEACHER","PRY","RT","A","2018",13.646,
"CHE","STUDPERTEACHER","PRY","RT","A","2016",,"M"
"CHE","STUDPERTEACHER","PRY","RT","A","2017",15.299,
"CHE","STUDPERTEACHER","PRY","RT","A","2018",15.223,
"TUR","STUDPERTEACHER","PRY","RT","A","2016",17.694,
"TUR","STUDPERTEACHER","PRY","RT","A","2017",16.978,
"TUR","STUDPERTEACHER","PRY","RT","A","2018",17.177,
"GBR","STUDPERTEACHER","PRY","RT","A","2016",16.946,
"GBR","STUDPERTEACHER","PRY","RT","A","2017",16.895,
"GBR","STUDPERTEACHER","PRY","RT","A","2018",19.894,
"USA","STUDPERTEACHER","PRY","RT","A","2016",15.216,
"USA","STUDPERTEACHER","PRY","RT","A","2017",15.182,
"USA","STUDPERTEACHER","PRY","RT","A","2018",15.224,
"ARG","STUDPERTEACHER","PRY","RT","A","2016",,"M"
"ARG","STUDPERTEACHER","PRY","RT","A","2017",,"M"
"BRA","STUDPERTEACHER","PRY","RT","A","2016",24.443,
"BRA","STUDPERTEACHER","PRY","RT","A","2017",24.259,
"BRA","STUDPERTEACHER","PRY","RT","A","2018",23.914,
"CHL","STUDPERTEACHER","PRY","RT","A","2016",20.293,
"CHL","STUDPERTEACHER","PRY","RT","A","2017",19.77,
"CHL","STUDPERTEACHER","PRY","RT","A","2018",19.411,
"CHN","STUDPERTEACHER","PRY","RT","A","2016",16.549,
"CHN","STUDPERTEACHER","PRY","RT","A","2017",16.594,
"CHN","STUDPERTEACHER","PRY","RT","A","2018",16.427,
"COL","STUDPERTEACHER","PRY","RT","A","2016",24.231,
"COL","STUDPERTEACHER","PRY","RT","A","2017",23.601,
"COL","STUDPERTEACHER","PRY","RT","A","2018",23.302,
"CRI","STUDPERTEACHER","PRY","RT","A","2016",11.979,
"CRI","STUDPERTEACHER","PRY","RT","A","2017",11.643,
"CRI","STUDPERTEACHER","PRY","RT","A","2018",11.575,
"EST","STUDPERTEACHER","PRY","RT","A","2016",13.192,
"EST","STUDPERTEACHER","PRY","RT","A","2017",13.192,
"EST","STUDPERTEACHER","PRY","RT","A","2018",13.146,
"IND","STUDPERTEACHER","PRY","RT","A","2016",35.216,
"IND","STUDPERTEACHER","PRY","RT","A","2017",32.75,
"IND","STUDPERTEACHER","PRY","RT","A","2018",,"M"
"IDN","STUDPERTEACHER","PRY","RT","A","2016",13.978,
"IDN","STUDPERTEACHER","PRY","RT","A","2017",16.064,
"IDN","STUDPERTEACHER","PRY","RT","A","2018",17.035,
"ISR","STUDPERTEACHER","PRY","RT","A","2016",15.418,
"ISR","STUDPERTEACHER","PRY","RT","A","2017",15.172,
"ISR","STUDPERTEACHER","PRY","RT","A","2018",15.434,
"LVA","STUDPERTEACHER","PRY","RT","A","2016",11.33,
"LVA","STUDPERTEACHER","PRY","RT","A","2017",12.075,
"LVA","STUDPERTEACHER","PRY","RT","A","2018",11.997,
"LTU","STUDPERTEACHER","PRY","RT","A","2016",10.47,
"LTU","STUDPERTEACHER","PRY","RT","A","2017",10.619,
"LTU","STUDPERTEACHER","PRY","RT","A","2018",11.22,
"RUS","STUDPERTEACHER","PRY","RT","A","2016",21.038,
"RUS","STUDPERTEACHER","PRY","RT","A","2017",21.105,
"RUS","STUDPERTEACHER","PRY","RT","A","2018",22.934,
"SAU","STUDPERTEACHER","PRY","RT","A","2016",11.701,
"SAU","STUDPERTEACHER","PRY","RT","A","2017",12.227,
"SAU","STUDPERTEACHER","PRY","RT","A","2018",13.815,
"SVN","STUDPERTEACHER","PRY","RT","A","2016",14.282,
"SVN","STUDPERTEACHER","PRY","RT","A","2017",14.45,
"SVN","STUDPERTEACHER","PRY","RT","A","2018",10.341,
"ZAF","STUDPERTEACHER","PRY","RT","A","2016",,"M"
"ZAF","STUDPERTEACHER","PRY","RT","A","2017",,"M"
